Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
CENSUS,2019,YEAR,,STATE,WASHINGTON,53,,,,,,,0,,APPLES,"APPLES, RED DELICIOUS, ORGANIC - PRODUCTION, MEASURED IN LB",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"52,789,470",22.9
CENSUS,2016,YEAR,,STATE,WASHINGTON,53,,,,,,,0,,APPLES,"APPLES, BRAEBURN, ORGANIC - PRODUCTION, MEASURED IN LB",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"7,737,640",12.8
CENSUS,2016,YEAR,,STATE,WASHINGTON,53,,,,,,,0,,APPLES,"APPLES, CAMEO, ORGANIC - PRODUCTION, MEASURED IN LB",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"2,183,344",20.9
CENSUS,2016,YEAR,,STATE,WASHINGTON,53,,,,,,,0,,APPLES,"APPLES, CRIPPS PINK, ORGANIC - PRODUCTION, MEASURED IN LB",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"24,977,920",13.2
CENSUS,2016,YEAR,,STATE,WASHINGTON,53,,,,,,,0,,APPLES,"APPLES, FUJI, ORGANIC - PRODUCTION, MEASURED IN LB",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"95,096,435",7.9
CENSUS,2016,YEAR,,STATE,WASHINGTON,53,,,,,,,0,,APPLES,"APPLES, GALA, ORGANIC - PRODUCTION, MEASURED IN LB",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"122,165,584",9.4
CENSUS,2016,YEAR,,STATE,WASHINGTON,53,,,,,,,0,,APPLES,"APPLES, GOLDEN DELICIOUS, ORGANIC - PRODUCTION, MEASURED IN LB",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"31,377,615",10.8
CENSUS,2016,YEAR,,STATE,WASHINGTON,53,,,,,,,0,,APPLES,"APPLES, GRANNY SMITH, ORGANIC - PRODUCTION, MEASURED IN LB",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"52,586,923",14.4
CENSUS,2016,YEAR,,STATE,WASHINGTON,53,,,,,,,0,,APPLES,"APPLES, HONEYCRISP, ORGANIC - PRODUCTION, MEASURED IN LB",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"37,783,153",14.1
CENSUS,2016,YEAR,,STATE,WASHINGTON,53,,,,,,,0,,APPLES,"APPLES, ORGANIC - PRODUCTION, MEASURED IN LB",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"444,936,550",6.4
CENSUS,2016,YEAR,,STATE,WASHINGTON,53,,,,,,,0,,APPLES,"APPLES, OTHER VARIETIES, ORGANIC - PRODUCTION, MEASURED IN LB",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"32,512,207",5.5
CENSUS,2016,YEAR,,STATE,WASHINGTON,53,,,,,,,0,,APPLES,"APPLES, RED DELICIOUS, ORGANIC - PRODUCTION, MEASURED IN LB",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"38,515,729",11.3
CENSUS,2015,YEAR,,STATE,WASHINGTON,53,,,,,,,0,,APPLES,"APPLES, BRAEBURN, ORGANIC - PRODUCTION, MEASURED IN LB",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"6,804,167",35.6
CENSUS,2015,YEAR,,STATE,WASHINGTON,53,,,,,,,0,,APPLES,"APPLES, CAMEO, ORGANIC - PRODUCTION, MEASURED IN LB",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
CENSUS,2015,YEAR,,STATE,WASHINGTON,53,,,,,,,0,,APPLES,"APPLES, CRIPPS PINK, ORGANIC - PRODUCTION, MEASURED IN LB",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"31,317,440",50.5
CENSUS,2015,YEAR,,STATE,WASHINGTON,53,,,,,,,0,,APPLES,"APPLES, FUJI, ORGANIC - PRODUCTION, MEASURED IN LB",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"109,159,297",40
CENSUS,2015,YEAR,,STATE,WASHINGTON,53,,,,,,,0,,APPLES,"APPLES, GALA, ORGANIC - PRODUCTION, MEASURED IN LB",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"100,822,461",37.5
CENSUS,2015,YEAR,,STATE,WASHINGTON,53,,,,,,,0,,APPLES,"APPLES, GOLDEN DELICIOUS, ORGANIC - PRODUCTION, MEASURED IN LB",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"27,660,622",29.8
CENSUS,2015,YEAR,,STATE,WASHINGTON,53,,,,,,,0,,APPLES,"APPLES, GRANNY SMITH, ORGANIC - PRODUCTION, MEASURED IN LB",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"37,363,395",27.3
CENSUS,2015,YEAR,,STATE,WASHINGTON,53,,,,,,,0,,APPLES,"APPLES, HONEYCRISP, ORGANIC - PRODUCTION, MEASURED IN LB",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"35,265,060",56.5
CENSUS,2015,YEAR,,STATE,WASHINGTON,53,,,,,,,0,,APPLES,"APPLES, ORGANIC - PRODUCTION, MEASURED IN LB",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"414,228,472",32.7
CENSUS,2015,YEAR,,STATE,WASHINGTON,53,,,,,,,0,,APPLES,"APPLES, OTHER VARIETIES, ORGANIC - PRODUCTION, MEASURED IN LB",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"25,564,185",33.7
CENSUS,2015,YEAR,,STATE,WASHINGTON,53,,,,,,,0,,APPLES,"APPLES, RED DELICIOUS, ORGANIC - PRODUCTION, MEASURED IN LB",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"37,647,928",26.7
CENSUS,2015,YEAR,,STATE,WASHINGTON,53,,,,,,,0,,APPLES,"APPLES, ROME, ORGANIC - PRODUCTION, MEASURED IN LB",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
CENSUS,2014,YEAR,,STATE,WASHINGTON,53,,,,,,,0,,APPLES,"APPLES, CAMEO, ORGANIC - PRODUCTION, MEASURED IN LB",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT),"7,056,750",58
CENSUS,2014,YEAR,,STATE,WASHINGTON,53,,,,,,,0,,APPLES,"APPLES, CAMEO, ORGANIC - PRODUCTION, MEASURED IN LB",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"7,056,750",58
CENSUS,2014,YEAR,,STATE,WASHINGTON,53,,,,,,,0,,APPLES,"APPLES, CORTLAND, ORGANIC - PRODUCTION, MEASURED IN LB",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT),"1,726",(H)
CENSUS,2014,YEAR,,STATE,WASHINGTON,53,,,,,,,0,,APPLES,"APPLES, CORTLAND, ORGANIC - PRODUCTION, MEASURED IN LB",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"1,726",(H)
CENSUS,2014,YEAR,,STATE,WASHINGTON,53,,,,,,,0,,APPLES,"APPLES, EMPIRE, ORGANIC - PRODUCTION, MEASURED IN LB",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT),"217,100",81
CENSUS,2014,YEAR,,STATE,WASHINGTON,53,,,,,,,0,,APPLES,"APPLES, EMPIRE, ORGANIC - PRODUCTION, MEASURED IN LB",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"217,100",81
CENSUS,2014,YEAR,,STATE,WASHINGTON,53,,,,,,,0,,APPLES,"APPLES, ENTERPRISE, ORGANIC - PRODUCTION, MEASURED IN LB",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT), (D),(D)
CENSUS,2014,YEAR,,STATE,WASHINGTON,53,,,,,,,0,,APPLES,"APPLES, ENTERPRISE, ORGANIC - PRODUCTION, MEASURED IN LB",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
CENSUS,2014,YEAR,,STATE,WASHINGTON,53,,,,,,,0,,APPLES,"APPLES, FUJI, ORGANIC - PRODUCTION, MEASURED IN LB",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT),"101,108,995",37.3
CENSUS,2014,YEAR,,STATE,WASHINGTON,53,,,,,,,0,,APPLES,"APPLES, FUJI, ORGANIC - PRODUCTION, MEASURED IN LB",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"101,108,995",37.3
CENSUS,2014,YEAR,,STATE,WASHINGTON,53,,,,,,,0,,APPLES,"APPLES, GALA, ORGANIC - PRODUCTION, MEASURED IN LB",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT),"110,229,719",35
CENSUS,2014,YEAR,,STATE,WASHINGTON,53,,,,,,,0,,APPLES,"APPLES, GALA, ORGANIC - PRODUCTION, MEASURED IN LB",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"110,229,719",35
CENSUS,2014,YEAR,,STATE,WASHINGTON,53,,,,,,,0,,APPLES,"APPLES, GOLDEN DELICIOUS, ORGANIC - PRODUCTION, MEASURED IN LB",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT),"43,031,910",48.7
CENSUS,2014,YEAR,,STATE,WASHINGTON,53,,,,,,,0,,APPLES,"APPLES, GOLDEN DELICIOUS, ORGANIC - PRODUCTION, MEASURED IN LB",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"43,031,910",48.7
CENSUS,2014,YEAR,,STATE,WASHINGTON,53,,,,,,,0,,APPLES,"APPLES, GRANNY SMITH, ORGANIC - PRODUCTION, MEASURED IN LB",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT),"27,815,729",29.6
CENSUS,2014,YEAR,,STATE,WASHINGTON,53,,,,,,,0,,APPLES,"APPLES, GRANNY SMITH, ORGANIC - PRODUCTION, MEASURED IN LB",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"27,815,729",29.6
CENSUS,2014,YEAR,,STATE,WASHINGTON,53,,,,,,,0,,APPLES,"APPLES, HONEYCRISP, ORGANIC - PRODUCTION, MEASURED IN LB",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT), (D),(D)
CENSUS,2014,YEAR,,STATE,WASHINGTON,53,,,,,,,0,,APPLES,"APPLES, HONEYCRISP, ORGANIC - PRODUCTION, MEASURED IN LB",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
CENSUS,2014,YEAR,,STATE,WASHINGTON,53,,,,,,,0,,APPLES,"APPLES, HONEYCRISP, ORGANIC - PRODUCTION, MEASURED IN LB",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA EXEMPT), (D),(D)
CENSUS,2014,YEAR,,STATE,WASHINGTON,53,,,,,,,0,,APPLES,"APPLES, IDARED, ORGANIC - PRODUCTION, MEASURED IN LB",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT),"9,540",(H)
CENSUS,2014,YEAR,,STATE,WASHINGTON,53,,,,,,,0,,APPLES,"APPLES, IDARED, ORGANIC - PRODUCTION, MEASURED IN LB",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"9,540",(H)
CENSUS,2014,YEAR,,STATE,WASHINGTON,53,,,,,,,0,,APPLES,"APPLES, JONAGOLD, ORGANIC - PRODUCTION, MEASURED IN LB",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT),"4,991,900",(H)
CENSUS,2014,YEAR,,STATE,WASHINGTON,53,,,,,,,0,,APPLES,"APPLES, JONAGOLD, ORGANIC - PRODUCTION, MEASURED IN LB",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"4,991,900",(H)
CENSUS,2014,YEAR,,STATE,WASHINGTON,53,,,,,,,0,,APPLES,"APPLES, JONATHAN, ORGANIC - PRODUCTION, MEASURED IN LB",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT),"10,284",62.4
CENSUS,2014,YEAR,,STATE,WASHINGTON,53,,,,,,,0,,APPLES,"APPLES, JONATHAN, ORGANIC - PRODUCTION, MEASURED IN LB",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"10,284",62.4
CENSUS,2014,YEAR,,STATE,WASHINGTON,53,,,,,,,0,,APPLES,"APPLES, LIBERTY, ORGANIC - PRODUCTION, MEASURED IN LB",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT),"5,790",(H)
CENSUS,2014,YEAR,,STATE,WASHINGTON,53,,,,,,,0,,APPLES,"APPLES, LIBERTY, ORGANIC - PRODUCTION, MEASURED IN LB",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
CENSUS,2014,YEAR,,STATE,WASHINGTON,53,,,,,,,0,,APPLES,"APPLES, LIBERTY, ORGANIC - PRODUCTION, MEASURED IN LB",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA EXEMPT), (D),(D)
CENSUS,2014,YEAR,,STATE,WASHINGTON,53,,,,,,,0,,APPLES,"APPLES, MCINTOSH, ORGANIC - PRODUCTION, MEASURED IN LB",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT), (D),(D)
CENSUS,2014,YEAR,,STATE,WASHINGTON,53,,,,,,,0,,APPLES,"APPLES, MCINTOSH, ORGANIC - PRODUCTION, MEASURED IN LB",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
CENSUS,2014,YEAR,,STATE,WASHINGTON,53,,,,,,,0,,APPLES,"APPLES, ORGANIC - PRODUCTION, MEASURED IN LB",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT),"428,742,904",35.8
CENSUS,2014,YEAR,,STATE,WASHINGTON,53,,,,,,,0,,APPLES,"APPLES, ORGANIC - PRODUCTION, MEASURED IN LB",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"428,682,454",35.8
CENSUS,2014,YEAR,,STATE,WASHINGTON,53,,,,,,,0,,APPLES,"APPLES, ORGANIC - PRODUCTION, MEASURED IN LB",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA EXEMPT),"60,450",(H)
CENSUS,2014,YEAR,,STATE,WASHINGTON,53,,,,,,,0,,APPLES,"APPLES, OTHER VARIETIES, ORGANIC - PRODUCTION, MEASURED IN LB",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT),"57,102,870",41.1
CENSUS,2014,YEAR,,STATE,WASHINGTON,53,,,,,,,0,,APPLES,"APPLES, OTHER VARIETIES, ORGANIC - PRODUCTION, MEASURED IN LB",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"57,091,020",41.1
CENSUS,2014,YEAR,,STATE,WASHINGTON,53,,,,,,,0,,APPLES,"APPLES, OTHER VARIETIES, ORGANIC - PRODUCTION, MEASURED IN LB",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA EXEMPT),"11,850",62.4
CENSUS,2014,YEAR,,STATE,WASHINGTON,53,,,,,,,0,,APPLES,"APPLES, RED DELICIOUS, ORGANIC - PRODUCTION, MEASURED IN LB",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT),"44,859,550",40
CENSUS,2014,YEAR,,STATE,WASHINGTON,53,,,,,,,0,,APPLES,"APPLES, RED DELICIOUS, ORGANIC - PRODUCTION, MEASURED IN LB",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"44,859,550",40
CENSUS,2014,YEAR,,STATE,WASHINGTON,53,,,,,,,0,,APPLES,"APPLES, ROME, ORGANIC - PRODUCTION, MEASURED IN LB",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT),"7,713",(H)
CENSUS,2014,YEAR,,STATE,WASHINGTON,53,,,,,,,0,,APPLES,"APPLES, ROME, ORGANIC - PRODUCTION, MEASURED IN LB",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"7,713",(H)
CENSUS,2011,YEAR,,STATE,WASHINGTON,53,,,,,,,0,,APPLES,"APPLES, BRAEBURN, ORGANIC - PRODUCTION, MEASURED IN LB",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"12,839,956",
CENSUS,2011,YEAR,,STATE,WASHINGTON,53,,,,,,,0,,APPLES,"APPLES, CAMEO, ORGANIC - PRODUCTION, MEASURED IN LB",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"8,114,379",
CENSUS,2011,YEAR,,STATE,WASHINGTON,53,,,,,,,0,,APPLES,"APPLES, CRIPPS PINK, ORGANIC - PRODUCTION, MEASURED IN LB",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"10,677,059",
CENSUS,2011,YEAR,,STATE,WASHINGTON,53,,,,,,,0,,APPLES,"APPLES, FUJI, ORGANIC - PRODUCTION, MEASURED IN LB",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"45,609,307",
CENSUS,2011,YEAR,,STATE,WASHINGTON,53,,,,,,,0,,APPLES,"APPLES, GALA, ORGANIC - PRODUCTION, MEASURED IN LB",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"59,498,647",
CENSUS,2011,YEAR,,STATE,WASHINGTON,53,,,,,,,0,,APPLES,"APPLES, GOLD RUSH, ORGANIC - PRODUCTION, MEASURED IN LB",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),
CENSUS,2011,YEAR,,STATE,WASHINGTON,53,,,,,,,0,,APPLES,"APPLES, GOLDEN DELICIOUS, ORGANIC - PRODUCTION, MEASURED IN LB",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"24,298,372",
CENSUS,2011,YEAR,,STATE,WASHINGTON,53,,,,,,,0,,APPLES,"APPLES, GRANNY SMITH, ORGANIC - PRODUCTION, MEASURED IN LB",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"23,899,765",
CENSUS,2011,YEAR,,STATE,WASHINGTON,53,,,,,,,0,,APPLES,"APPLES, HONEYCRISP, ORGANIC - PRODUCTION, MEASURED IN LB",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"16,186,745",
CENSUS,2011,YEAR,,STATE,WASHINGTON,53,,,,,,,0,,APPLES,"APPLES, JONAGOLD, ORGANIC - PRODUCTION, MEASURED IN LB",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"1,267,747",
CENSUS,2011,YEAR,,STATE,WASHINGTON,53,,,,,,,0,,APPLES,"APPLES, JONATHAN, ORGANIC - PRODUCTION, MEASURED IN LB",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),
CENSUS,2011,YEAR,,STATE,WASHINGTON,53,,,,,,,0,,APPLES,"APPLES, LIBERTY, ORGANIC - PRODUCTION, MEASURED IN LB",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),
CENSUS,2011,YEAR,,STATE,WASHINGTON,53,,,,,,,0,,APPLES,"APPLES, MCINTOSH, ORGANIC - PRODUCTION, MEASURED IN LB",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"30,934",
CENSUS,2011,YEAR,,STATE,WASHINGTON,53,,,,,,,0,,APPLES,"APPLES, ORGANIC - PRODUCTION, MEASURED IN LB",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"245,038,651",
CENSUS,2011,YEAR,,STATE,WASHINGTON,53,,,,,,,0,,APPLES,"APPLES, OTHER VARIETIES, ORGANIC - PRODUCTION, MEASURED IN LB",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"14,182,122",
CENSUS,2011,YEAR,,STATE,WASHINGTON,53,,,,,,,0,,APPLES,"APPLES, RED DELICIOUS, ORGANIC - PRODUCTION, MEASURED IN LB",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"28,431,430",
CENSUS,2008,YEAR,,STATE,WASHINGTON,53,,,,,,,0,,APPLES,"APPLES, ORGANIC - PRODUCTION, MEASURED IN LB",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT),"425,274,288",
CENSUS,2008,YEAR,,STATE,WASHINGTON,53,,,,,,,0,,APPLES,"APPLES, ORGANIC - PRODUCTION, MEASURED IN LB",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"425,010,659",
CENSUS,2008,YEAR,,STATE,WASHINGTON,53,,,,,,,0,,APPLES,"APPLES, ORGANIC - PRODUCTION, MEASURED IN LB",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA EXEMPT),"263,629",
SURVEY,2022,YEAR,,STATE,WASHINGTON,53,,,,,,,0,,APPLES,"APPLES - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,"6,500,000,000",
SURVEY,2022,YEAR - AUG FORECAST,,STATE,WASHINGTON,53,,,,,,,0,,APPLES,"APPLES - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,"6,500,000,000",
SURVEY,2021,YEAR,,STATE,WASHINGTON,53,,,,,,,0,,APPLES,"APPLES - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,"6,760,000,000",
SURVEY,2021,YEAR,,STATE,WASHINGTON,53,,,,,,,0,,APPLES,"APPLES, FRESH MARKET - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"2,070,453,000",
SURVEY,2021,YEAR,,STATE,WASHINGTON,53,,,,,,,0,,APPLES,"APPLES, FRESH MARKET - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,"5,137,600,000",
SURVEY,2021,YEAR,,STATE,WASHINGTON,53,,,,,,,0,,APPLES,"APPLES, NOT SOLD - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,"270,400,000",
SURVEY,2021,YEAR,,STATE,WASHINGTON,53,,,,,,,0,,APPLES,"APPLES, PROCESSING - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"114,920,000",
SURVEY,2021,YEAR,,STATE,WASHINGTON,53,,,,,,,0,,APPLES,"APPLES, PROCESSING - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,"1,352,000,000",
SURVEY,2021,YEAR,,STATE,WASHINGTON,53,,,,,,,0,,APPLES,"APPLES, UTILIZED - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"2,185,373,000",
SURVEY,2021,YEAR,,STATE,WASHINGTON,53,,,,,,,0,,APPLES,"APPLES, UTILIZED - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,"6,489,600,000",
SURVEY,2021,YEAR - AUG FORECAST,,STATE,WASHINGTON,53,,,,,,,0,,APPLES,"APPLES - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,"7,400,000,000",
SURVEY,2020,YEAR,,STATE,WASHINGTON,53,,,,,,,0,,APPLES,"APPLES - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,"6,915,000,000",
SURVEY,2020,YEAR,,STATE,WASHINGTON,53,,,,,,,0,,APPLES,"APPLES, FRESH MARKET - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"2,001,912,000",
SURVEY,2020,YEAR,,STATE,WASHINGTON,53,,,,,,,0,,APPLES,"APPLES, FRESH MARKET - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,"5,186,300,000",
SURVEY,2020,YEAR,,STATE,WASHINGTON,53,,,,,,,0,,APPLES,"APPLES, NOT SOLD - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,"345,700,000",
SURVEY,2020,YEAR,,STATE,WASHINGTON,53,,,,,,,0,,APPLES,"APPLES, PROCESSING - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"93,353,000",
SURVEY,2020,YEAR,,STATE,WASHINGTON,53,,,,,,,0,,APPLES,"APPLES, PROCESSING - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,"1,383,000,000",
SURVEY,2020,YEAR,,STATE,WASHINGTON,53,,,,,,,0,,APPLES,"APPLES, UTILIZED - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"2,095,265,000",
