PRISM Time Series Data
Location:  Lat: 47.7361   Lon: -119.6917   Elev: 2336ft
"Climate variables: ppt,tmin,tmean,tmax,tdmean,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 1895-01 - 2021-12
Dataset: AN81m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2022-Nov-18
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),tdmean (degrees F),vpdmin (hPa),vpdmax (hPa)
1916-02,2.33,19.3,25.9,32.5,21.8,0.37,1.93
1916-03,1.38,27.8,36.7,45.5,27.6,0.62,5.04
1916-04,0.36,35.0,47.0,59.1,28.5,1.82,11.95
1916-05,0.76,38.4,51.0,63.7,31.1,2.12,14.50
1916-06,1.77,45.8,59.5,73.1,38.9,2.51,20.19
1916-07,0.84,49.1,63.4,77.8,42.2,2.93,24.02
1916-08,0.33,52.8,69.0,85.2,40.4,5.04,33.54
1916-09,0.44,44.9,59.8,74.8,36.0,3.04,22.88
1916-10,0.02,32.7,46.8,61.0,28.1,1.24,13.31
1916-11,0.94,21.2,30.6,39.9,22.5,0.35,3.84
1916-12,1.10,11.5,19.9,28.3,13.8,0.31,2.00
1917-01,0.50,10.9,20.7,30.4,15.1,0.18,2.31
1917-02,0.87,17.6,24.8,32.1,19.1,0.43,2.21
1917-03,0.93,21.0,30.8,40.5,17.5,0.88,4.92
1917-04,1.81,32.4,42.1,51.9,28.5,1.26,7.84
1917-05,1.45,40.8,53.2,65.5,34.0,2.20,15.13
1917-06,0.57,43.5,58.3,73.1,35.7,2.58,21.28
1917-07,0.03,50.9,68.9,86.9,39.5,4.28,36.01
1917-08,0.00,52.0,69.7,87.5,39.1,5.27,37.01
1917-09,0.27,46.6,60.8,75.0,38.6,3.02,22.33
1917-10,0.00,35.3,49.7,64.1,30.3,1.55,14.96
1917-11,1.39,31.2,39.7,48.1,31.2,0.54,5.22
1917-12,2.29,20.9,29.0,37.1,25.5,0.03,2.51
1918-01,1.75,21.4,28.7,36.1,21.2,0.58,2.94
1918-02,0.99,18.6,27.0,35.5,20.8,0.28,2.80
1918-03,0.48,28.2,38.2,48.2,27.4,0.70,6.29
1918-04,0.03,32.8,47.9,63.0,25.6,1.75,15.10
1918-05,0.62,38.2,52.6,67.0,30.5,2.20,17.17
1918-06,0.38,49.5,66.2,83.0,39.0,3.96,30.93
1918-07,1.16,54.3,70.0,85.8,42.3,5.23,33.55
1918-08,0.54,50.7,65.9,81.0,42.2,3.55,27.74
1918-09,0.10,47.6,64.9,82.1,38.5,3.34,30.50
1918-10,1.17,38.7,50.5,62.4,36.8,1.10,12.25
1918-11,1.45,27.3,35.6,43.8,27.1,0.57,4.43
1918-12,0.68,21.6,28.2,34.8,22.7,0.40,2.14
1919-01,1.94,18.1,26.0,33.9,21.0,0.15,2.08
1919-02,2.02,19.4,27.1,34.8,22.6,0.28,2.30
1919-03,0.37,26.7,36.8,46.9,24.8,0.87,6.30
1919-04,0.30,34.4,47.7,61.1,29.5,1.50,12.94
1919-05,0.60,39.2,53.4,67.5,32.7,2.11,16.89
1919-06,0.16,42.9,59.2,75.5,35.2,2.61,23.49
1919-07,0.08,51.7,69.9,88.1,39.7,4.91,37.54
1919-08,0.34,52.1,69.5,86.9,41.0,4.44,35.43
1919-09,1.27,44.4,58.7,73.0,36.8,2.69,20.85
1919-10,0.24,31.9,44.8,57.8,28.2,1.07,11.19
1919-11,1.08,24.5,32.5,40.6,24.4,0.55,3.87
1919-12,1.29,10.0,18.2,26.4,13.3,0.20,1.61
1920-01,0.46,16.1,23.7,31.2,18.8,0.28,1.97
1920-02,0.14,22.6,31.5,40.3,22.2,0.59,4.22
1920-03,0.16,27.7,38.7,49.7,24.8,0.96,7.44
1920-04,0.87,32.1,44.1,56.0,27.0,1.41,10.25
1920-05,0.36,37.3,51.9,66.4,31.4,1.83,16.32
1920-06,0.48,44.3,59.4,74.5,36.6,2.68,22.23
1920-07,1.17,55.9,72.5,89.1,41.8,5.75,38.19
1920-08,0.88,54.5,69.9,85.4,42.1,5.30,33.24
1920-09,1.02,46.0,58.8,71.6,38.7,2.73,18.79
1920-10,1.15,36.5,46.7,56.8,34.3,1.11,9.30
1920-11,1.79,27.9,36.2,44.6,27.0,0.66,4.79
1920-12,1.65,23.2,29.1,35.1,24.0,0.45,2.04
1921-01,2.09,17.9,25.8,33.6,21.5,0.15,2.04
1921-02,0.84,22.7,29.5,36.2,25.0,0.30,2.17
1921-03,0.83,29.6,39.1,48.6,26.5,1.05,6.62
1921-04,0.65,32.7,44.4,56.0,27.8,1.44,10.24
1921-05,0.73,41.3,55.8,70.3,33.3,2.39,19.36
1921-06,0.38,48.9,63.5,78.1,39.9,3.44,24.64
1921-07,0.00,50.9,68.2,85.4,40.3,4.25,33.53
1921-08,0.04,53.0,69.3,85.6,40.9,5.28,33.80
1921-09,0.32,41.5,54.6,67.6,35.1,2.19,16.49
1921-10,0.65,36.0,49.7,63.4,32.8,1.26,13.86
1921-11,2.09,24.9,33.3,41.7,26.6,0.33,3.87
1921-12,1.09,17.1,24.1,31.1,19.5,0.32,1.89
1922-01,0.65,6.5,14.8,23.1,11.5,0.13,1.20
1922-02,0.79,10.8,19.8,28.8,14.9,0.19,2.05
1922-03,1.12,24.1,33.5,42.9,22.7,0.74,4.98
1922-04,0.77,32.5,44.4,56.3,27.0,1.52,10.45
1922-05,0.23,38.3,53.2,68.1,31.9,1.98,17.61
1922-06,0.05,50.5,67.3,84.1,40.1,4.30,32.00
1922-07,0.00,55.1,71.8,88.6,40.9,6.44,37.90
1922-08,0.96,53.9,69.4,84.9,42.8,4.88,32.25
1922-09,0.53,45.9,61.6,77.4,37.9,2.94,24.88
1922-10,1.11,37.7,50.4,63.2,34.1,1.39,13.43
1922-11,0.70,27.2,32.9,38.5,25.7,0.71,2.81
1922-12,2.00,11.1,17.9,24.7,14.3,0.23,1.22
1923-01,1.60,21.0,28.3,35.6,23.4,0.30,2.26
1923-02,0.77,14.2,22.4,30.5,16.0,0.28,2.26
1923-03,0.17,27.1,38.0,48.9,23.5,1.01,7.35
1923-04,0.84,35.6,48.2,60.8,28.9,1.84,12.97
1923-05,0.72,41.6,54.8,67.9,34.0,2.43,17.09
1923-06,2.05,48.6,61.0,73.4,42.0,2.72,19.43
1923-07,0.95,55.4,70.8,86.3,44.0,5.24,33.82
1923-08,0.73,55.2,70.5,85.7,42.8,5.56,33.19
1923-09,0.50,47.3,62.6,77.9,37.0,3.70,25.81
1923-10,1.20,37.7,49.4,61.1,34.2,1.33,11.84
1923-11,0.47,28.8,37.1,45.5,28.5,0.57,4.72
1923-12,1.46,19.8,27.0,34.2,22.6,0.24,2.14
1924-01,1.19,11.1,19.2,27.3,14.5,0.20,1.63
1924-02,1.07,28.9,36.4,44.0,29.1,0.57,4.18
1924-03,0.08,28.7,39.6,50.5,24.9,1.07,7.78
1924-04,0.03,33.0,46.9,60.7,25.6,1.81,13.47
1924-05,0.06,44.8,61.3,77.8,32.8,3.59,26.63
1924-06,0.68,48.3,63.1,77.9,37.2,3.94,25.53
1924-07,0.17,53.9,70.4,87.0,40.7,5.74,35.79
1924-08,0.47,53.9,68.9,83.9,40.9,5.37,31.58
1924-09,0.73,47.1,61.4,75.6,36.9,3.50,23.38
1924-10,0.93,37.3,48.5,59.7,34.1,1.29,11.20
1924-11,2.11,26.8,33.4,40.0,27.4,0.49,2.96
1924-12,1.19,12.5,20.3,28.1,13.2,0.38,2.05
1925-01,1.21,15.8,24.8,33.8,21.6,0.00,2.11
1925-02,1.21,28.7,35.7,42.7,28.2,0.70,3.78
1925-03,0.38,30.8,41.4,52.1,26.9,1.16,8.20
1925-04,0.65,37.7,50.7,63.7,31.9,1.79,14.30
1925-05,0.61,44.6,58.4,72.3,36.1,2.94,20.33
1925-06,0.84,49.1,64.1,79.0,39.1,3.70,26.28
1925-07,0.00,56.5,73.3,90.0,41.5,6.82,39.82
1925-08,0.05,52.4,68.0,83.7,40.6,4.85,31.49
1925-09,0.56,46.2,59.7,73.2,38.5,2.91,20.60
1925-10,0.26,33.1,46.8,60.5,29.7,1.17,12.57
1925-11,1.34,25.9,34.0,42.2,26.9,0.40,3.78
1925-12,0.98,28.3,33.0,37.6,27.7,0.65,2.04
1926-01,1.27,22.3,26.9,31.6,22.5,0.51,1.35
1926-02,1.52,29.1,36.5,44.0,28.7,0.63,4.12
1926-03,0.23,31.7,44.7,57.7,26.5,1.36,11.43
1926-04,0.40,38.7,52.9,67.0,30.4,2.29,17.07
1926-05,0.32,40.4,54.2,67.9,34.4,2.05,16.91
1926-06,0.39,49.9,65.5,81.1,38.4,4.20,28.77
1926-07,0.20,56.1,72.8,89.5,40.4,6.88,39.49
1926-08,0.91,52.9,68.2,83.5,42.2,4.51,30.70
1926-09,0.82,41.0,54.1,67.2,35.7,1.93,15.86
1926-10,0.45,37.6,49.1,60.7,34.7,1.23,11.52
1926-11,2.13,30.6,38.1,45.7,29.4,0.74,4.76
1926-12,1.67,18.0,24.9,31.7,20.5,0.28,1.75
1927-01,1.49,16.2,22.5,28.9,18.3,0.33,1.54
1927-02,1.37,22.8,30.0,37.1,24.3,0.43,2.80
1927-03,0.59,28.5,37.9,47.3,25.8,0.95,6.17
1927-04,0.11,33.0,45.2,57.4,26.0,1.71,11.29
1927-05,1.05,39.6,51.9,64.2,33.9,1.87,14.06
1927-06,0.57,50.2,63.5,76.9,40.2,3.89,23.56
1927-07,0.07,54.3,69.9,85.5,40.9,5.64,33.62
1927-08,0.61,53.6,68.7,83.9,42.2,4.99,31.27
1927-09,2.40,46.1,57.1,68.1,39.8,2.45,15.44
1927-10,0.81,37.1,47.7,58.4,36.2,0.84,9.66
1927-11,2.23,28.2,35.4,42.6,29.7,0.38,3.47
1927-12,0.65,12.2,20.1,28.0,12.1,0.45,2.21
1928-01,1.40,18.9,24.5,30.2,19.6,0.43,1.52
1928-02,0.22,22.4,30.9,39.4,21.4,0.63,3.98
1928-03,0.65,30.3,40.6,50.9,28.1,0.90,7.36
1928-04,0.72,32.7,44.3,55.9,27.0,1.57,10.33
1928-05,0.34,43.3,59.0,74.7,34.1,3.00,23.12
1928-06,0.60,48.6,62.2,75.8,38.7,3.60,22.99
1928-07,0.69,56.0,71.7,87.3,43.5,5.68,35.25
1928-08,0.07,51.4,67.7,83.9,39.4,4.67,32.15
1928-09,0.12,45.0,60.9,76.8,34.8,3.24,25.38
1928-10,0.24,35.7,47.8,59.8,33.3,1.11,11.40
