PRISM Time Series Data
Location:  Lat: 46.2398   Lon: -119.5113   Elev: 1070ft
"Climate variables: ppt,tmin,tmean,tmax,tdmean,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 1895-01 - 2021-12
Dataset: AN81m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2022-Nov-18
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),tdmean (degrees F),vpdmin (hPa),vpdmax (hPa)
1910-08,0.00,53.1,69.3,85.5,41.6,4.68,33.37
1910-09,0.69,47.9,62.9,78.0,41.8,2.98,24.10
1910-10,0.39,42.9,54.9,66.9,39.5,1.42,14.56
1910-11,1.64,34.4,41.9,49.4,33.5,0.74,5.28
1910-12,0.72,31.1,36.6,42.0,29.8,0.71,3.09
1911-01,0.77,24.6,32.5,40.5,24.2,0.58,3.72
1911-02,0.71,25.4,33.6,41.9,23.8,0.63,4.36
1911-03,0.54,32.7,46.6,60.6,29.6,1.07,12.47
1911-04,0.00,35.7,51.4,67.0,28.8,1.81,17.09
1911-05,0.74,43.5,56.8,70.1,36.5,2.31,18.02
1911-06,0.67,54.7,68.5,82.2,42.7,4.90,28.76
1911-07,0.00,60.0,75.6,91.1,43.9,8.71,40.75
1911-08,0.21,55.0,71.9,88.7,43.8,5.10,37.12
1911-09,2.31,48.8,60.7,72.5,41.7,3.31,18.60
1911-10,0.38,38.7,52.3,65.9,35.9,1.24,14.80
1911-11,0.52,28.6,38.7,48.7,29.3,0.48,6.08
1911-12,0.87,25.1,33.1,41.2,26.2,0.45,3.57
1912-01,2.14,21.3,28.0,34.7,24.2,0.31,1.97
1912-02,0.88,31.9,39.2,46.5,30.4,0.76,4.83
1912-03,0.52,31.3,42.4,53.5,26.9,1.18,8.82
1912-04,0.87,39.3,52.0,64.6,34.1,1.73,14.28
1912-05,1.11,46.9,61.3,75.7,38.7,2.88,22.51
1912-06,0.72,54.2,69.4,84.5,42.8,4.68,31.58
1912-07,0.19,58.2,72.7,87.2,45.1,5.98,34.48
1912-08,1.03,55.7,69.8,83.8,46.7,4.17,29.17
1912-09,0.11,47.1,61.3,75.4,38.8,2.91,22.51
1912-10,0.89,37.8,49.6,61.5,35.5,1.01,11.73
1912-11,1.23,34.4,42.7,51.1,33.9,0.66,5.97
1912-12,0.73,26.9,35.9,44.9,27.3,0.49,4.86
1913-01,1.58,19.9,27.4,34.9,21.3,0.42,2.50
1913-02,0.23,20.6,28.4,36.2,20.8,0.44,3.03
1913-03,0.19,31.8,42.1,52.4,28.1,1.12,8.05
1913-04,0.46,39.9,53.0,66.1,33.1,2.05,15.79
1913-05,0.96,44.6,59.0,73.4,38.5,2.27,20.56
1913-06,1.05,52.9,66.8,80.7,45.5,3.37,25.83
1913-07,0.00,57.0,72.9,88.8,44.6,5.61,36.98
1913-08,0.06,57.8,73.4,89.0,45.2,5.91,36.99
1913-09,0.22,45.7,61.7,77.8,40.3,2.20,24.46
1913-10,1.42,39.5,51.6,63.8,37.9,0.93,12.55
1913-11,1.07,35.4,43.1,50.7,35.0,0.66,5.49
1913-12,1.31,27.1,32.1,37.0,25.8,0.61,2.22
1914-01,2.05,31.5,38.5,45.6,30.7,0.71,4.35
1914-02,1.23,30.1,36.3,42.4,27.9,0.76,3.75
1914-03,0.08,35.3,47.6,59.9,32.3,1.14,11.68
1914-04,0.80,40.4,53.6,66.7,34.8,1.88,15.60
1914-05,0.58,46.3,61.6,76.9,37.7,2.96,24.30
1914-06,0.49,50.3,64.8,79.3,42.2,3.33,25.42
1914-07,0.15,55.8,74.6,93.4,44.6,5.22,44.11
1914-08,0.00,54.7,72.9,91.0,43.5,5.01,40.38
1914-09,0.58,48.3,62.3,76.2,41.5,2.70,22.25
1914-10,1.14,43.3,54.0,64.7,41.1,1.23,12.19
1914-11,0.63,33.7,42.5,51.2,33.4,0.60,6.17
1914-12,0.79,17.7,24.7,31.7,18.9,0.38,2.14
1915-01,0.62,23.0,28.1,33.2,22.5,0.55,1.78
1915-02,1.28,30.8,39.4,48.0,30.9,0.62,5.28
1915-03,0.92,36.8,49.1,61.3,34.0,1.10,11.93
1915-04,0.62,41.7,55.6,69.6,36.2,1.92,17.79
1915-05,1.10,47.3,59.5,71.7,40.8,2.56,18.09
1915-06,0.66,51.3,66.5,81.8,40.8,4.02,28.72
1915-07,1.12,56.8,72.0,87.2,46.5,4.91,34.18
1915-08,0.00,59.4,76.5,93.7,44.7,7.05,44.42
1915-09,0.10,48.3,63.3,78.3,40.6,2.84,25.04
1915-10,0.18,43.0,55.4,67.8,38.6,1.63,15.59
1915-11,2.16,32.2,40.2,48.1,31.2,0.69,5.26
1915-12,1.69,26.6,33.7,40.9,27.1,0.52,3.27
1916-01,0.99,11.2,18.5,25.8,13.2,0.32,1.49
1916-02,2.14,27.0,32.1,37.2,27.5,0.44,2.13
1916-03,1.34,36.2,46.0,55.7,33.0,1.15,8.72
1916-04,0.86,39.4,52.6,65.8,32.9,1.99,15.57
1916-05,0.39,42.9,55.2,67.5,34.2,2.68,16.56
1916-06,0.79,51.0,64.7,78.4,41.8,3.63,24.62
1916-07,0.79,53.0,67.2,81.4,45.4,3.50,26.98
1916-08,0.13,55.6,72.2,88.8,43.9,5.30,37.24
1916-09,0.04,46.9,62.7,78.6,40.2,2.62,25.34
1916-10,0.13,37.6,50.5,63.5,33.4,1.24,13.70
1916-11,1.23,27.5,35.2,43.0,26.9,0.55,4.10
1916-12,1.10,21.7,27.4,33.1,21.8,0.48,1.97
1917-01,0.46,22.5,29.3,36.0,21.5,0.58,2.75
1917-02,0.43,27.5,34.3,41.2,25.9,0.62,3.66
1917-03,0.40,29.3,39.2,49.0,25.0,1.14,7.04
1917-04,1.33,38.2,49.3,60.5,33.7,1.57,11.50
1917-05,0.77,45.5,58.1,70.7,38.5,2.52,18.08
1917-06,0.19,48.3,64.0,79.8,39.1,3.35,27.27
1917-07,0.02,56.1,74.1,92.1,42.9,5.71,42.59
1917-08,0.00,54.9,73.5,92.0,43.2,5.20,42.34
1917-09,0.42,50.1,65.0,79.9,44.2,2.70,25.43
1917-10,0.00,39.7,55.3,70.9,36.4,1.39,18.77
1917-11,1.19,33.4,43.3,53.1,34.7,0.41,6.74
1917-12,2.13,34.6,43.1,51.5,33.3,0.78,6.37
1918-01,1.12,30.3,37.7,45.0,29.5,0.68,4.47
1918-02,0.98,27.0,35.7,44.4,26.5,0.60,4.73
1918-03,0.34,33.1,45.5,58.0,31.6,0.88,10.45
1918-04,0.10,37.4,52.9,68.4,29.8,2.03,18.35
1918-05,0.68,43.2,57.6,72.1,34.2,2.79,20.51
1918-06,0.22,55.5,71.9,88.3,42.6,5.52,36.79
1918-07,0.29,58.3,74.6,90.8,45.4,6.19,39.62
1918-08,0.44,55.1,70.0,84.9,46.2,4.25,31.19
1918-09,0.22,51.1,68.2,85.3,45.0,2.83,32.14
1918-10,0.99,44.9,56.4,67.8,42.2,1.39,14.58
1918-11,0.83,32.5,40.8,49.2,31.8,0.61,5.66
1918-12,0.67,28.9,34.1,39.2,27.7,0.64,2.51
1919-01,1.40,23.9,32.4,40.9,25.4,0.38,3.56
1919-02,1.43,29.7,36.8,43.9,28.6,0.67,4.13
1919-03,0.98,34.3,45.8,57.4,31.1,1.13,10.12
1919-04,0.57,38.6,53.3,68.1,33.5,1.70,17.29
1919-05,0.45,45.0,60.2,75.3,36.0,2.98,23.15
1919-06,0.00,48.1,64.7,81.3,38.3,3.61,28.96
1919-07,0.03,56.7,74.4,92.2,43.3,6.36,42.56
1919-08,0.09,58.3,74.3,90.4,44.3,6.40,39.18
1919-09,0.74,48.0,62.6,77.3,41.5,2.68,23.48
1919-10,0.67,37.6,50.5,63.4,35.1,1.06,13.19
1919-11,1.27,31.1,39.8,48.5,30.4,0.63,5.67
1919-12,0.80,15.2,21.8,28.5,18.4,0.28,1.41
1920-01,0.67,24.0,30.2,36.4,24.8,0.47,2.36
1920-02,0.01,26.9,35.8,44.7,26.0,0.65,5.02
1920-03,0.42,33.7,45.1,56.6,30.6,1.13,9.75
1920-04,1.31,37.6,50.0,62.4,32.6,1.60,13.13
1920-05,0.57,41.6,57.4,73.2,34.2,2.33,21.44
1920-06,0.46,47.8,63.7,79.6,40.9,2.81,26.24
1920-07,0.14,58.4,75.8,93.2,44.5,6.48,43.23
1920-08,1.17,57.4,73.0,88.5,46.0,5.43,35.91
1920-09,1.03,50.2,63.1,76.0,43.8,2.80,21.34
1920-10,0.86,42.3,52.6,62.9,39.5,1.33,11.61
1920-11,1.62,31.8,41.0,50.1,31.8,0.57,6.07
1920-12,1.76,30.8,37.2,43.6,29.5,0.69,3.84
1921-01,1.20,28.3,35.6,42.8,27.1,0.66,4.09
1921-02,1.46,31.7,39.1,46.6,30.2,0.73,4.83
1921-03,0.48,35.1,46.8,58.5,32.4,1.12,10.55
1921-04,0.53,38.2,51.8,65.3,32.4,1.83,15.30
1921-05,0.65,45.5,60.2,74.8,37.7,2.75,22.36
1921-06,0.41,54.3,69.2,84.1,43.4,4.65,30.43
1921-07,0.00,54.4,72.1,89.9,42.9,4.96,38.75
1921-08,0.01,56.4,72.9,89.5,44.9,5.39,37.59
1921-09,0.44,46.7,60.1,73.4,39.7,2.68,20.07
1921-10,0.54,40.9,55.2,69.5,38.5,1.27,16.99
1921-11,2.69,32.1,41.3,50.4,31.7,0.64,6.26
1921-12,1.06,25.3,31.6,38.0,25.0,0.50,2.82
1922-01,0.51,14.1,21.4,28.7,16.9,0.31,1.69
1922-02,0.65,23.3,31.4,39.5,23.2,0.53,3.57
1922-03,1.11,31.0,41.9,52.9,28.4,0.99,8.23
1922-04,0.60,36.3,49.1,61.9,31.5,1.56,12.98
1922-05,0.10,42.8,57.3,71.8,35.5,2.45,19.80
1922-06,0.48,56.1,73.1,90.2,43.2,5.68,39.30
1922-07,0.00,57.3,74.7,92.0,44.1,6.32,41.92
1922-08,0.17,60.0,74.3,88.6,47.2,6.51,35.43
1922-09,0.24,49.0,66.0,83.0,42.3,2.88,29.65
1922-10,0.89,41.5,55.0,68.5,40.0,1.06,15.78
1922-11,0.69,32.5,38.1,43.6,30.5,0.75,3.62
1922-12,1.36,18.4,26.1,33.8,21.9,0.35,2.11
1923-01,1.37,31.8,38.6,45.4,29.6,0.85,4.54
1923-02,0.42,20.8,29.7,38.7,21.1,0.46,3.78
1923-03,0.06,32.9,46.0,59.1,29.4,1.16,11.58
1923-04,0.84,38.5,53.0,67.5,34.1,1.60,16.53
1923-05,0.50,46.3,60.2,74.2,38.7,2.79,21.29
1923-06,1.48,52.5,65.9,79.3,45.1,3.35,24.50
1923-07,0.59,58.4,74.4,90.4,47.3,5.64,38.22
1923-08,0.23,57.5,74.4,91.3,46.2,5.98,40.05
1923-09,0.44,49.0,65.0,80.9,42.9,2.76,27.22
1923-10,1.33,41.5,53.0,64.4,39.8,1.05,12.47
1923-11,0.38,33.9,43.8,53.8,33.6,0.62,7.54
1923-12,1.19,28.0,36.0,44.1,27.4,0.58,4.48
1924-01,0.59,18.9,27.7,36.6,21.2,0.36,2.97
1924-02,1.42,34.8,44.9,55.0,33.2,0.85,8.28
1924-03,0.33,32.8,45.5,58.2,29.0,1.19,11.26
1924-04,0.00,35.1,51.9,68.7,30.5,1.52,18.46
1924-05,0.00,46.1,64.7,83.3,37.5,2.90,31.72
1924-06,0.24,52.3,68.7,85.1,41.6,4.39,32.80
1924-07,0.30,56.5,73.2,90.0,44.3,5.68,38.69
1924-08,0.41,54.8,71.3,87.8,44.7,4.64,35.21
1924-09,0.72,49.1,64.5,79.8,41.7,3.01,26.17
1924-10,0.56,41.9,54.3,66.7,39.3,1.27,14.54
1924-11,2.06,33.6,40.2,46.8,32.3,0.76,4.48
1924-12,1.12,18.2,25.6,32.9,18.7,0.41,2.41
1925-01,1.20,29.4,37.8,46.2,28.8,0.66,5.01
1925-02,1.07,35.0,43.8,52.6,33.4,0.90,6.99
1925-03,0.19,35.0,47.6,60.2,31.4,1.25,11.94
1925-04,0.81,40.7,55.7,70.7,36.3,1.69,18.72
1925-05,0.76,47.6,62.8,77.9,41.4,2.58,24.22
1925-06,0.33,52.5,69.2,85.8,42.9,4.07,33.39
1925-07,0.00,57.5,76.3,95.1,44.6,5.90,46.80
1925-08,0.04,55.2,72.3,89.4,44.7,4.71,37.81
1925-09,0.67,48.5,63.8,79.1,43.6,2.30,24.61
1925-10,0.20,37.8,52.1,66.4,35.7,1.07,15.29
1925-11,1.05,30.3,39.1,48.0,31.9,0.39,5.04
1925-12,1.53,32.4,38.8,45.2,32.1,0.64,3.74
1926-01,1.22,30.3,34.7,39.2,28.3,0.74,2.48
1926-02,1.12,34.0,43.8,53.6,33.7,0.66,7.38
1926-03,0.22,34.0,49.1,64.3,32.1,0.97,14.51
1926-04,0.23,40.4,57.4,74.4,36.2,1.64,22.21
1926-05,0.31,44.8,60.0,75.2,37.9,2.51,22.61
1926-06,0.97,53.2,70.3,87.4,43.1,4.30,35.53
1926-07,0.00,57.3,75.6,94.0,44.3,6.11,45.01
1926-08,0.20,54.2,71.1,87.9,45.7,3.98,35.00
1926-09,0.74,43.6,58.5,73.4,39.2,1.89,20.26
1926-10,1.06,40.9,53.9,67.0,39.6,1.00,14.50
1926-11,3.17,32.8,42.1,51.3,34.4,0.40,6.00
1926-12,1.49,22.7,30.0,37.4,25.5,0.35,2.43
1927-01,1.70,23.2,28.5,33.8,23.8,0.46,1.83
1927-02,1.49,31.6,39.2,46.7,30.7,0.70,4.78
1927-03,0.89,32.5,43.9,55.3,30.1,0.99,9.14
1927-04,0.09,35.8,49.5,63.2,30.2,1.65,14.21
1927-05,0.59,43.7,55.9,68.1,36.4,2.44,16.34
1927-06,0.33,52.2,67.0,81.8,44.1,3.60,27.69
1927-07,0.03,55.0,73.0,91.1,43.6,5.16,40.52
1927-08,0.16,56.6,72.3,88.0,45.7,5.23,35.21
1927-09,1.65,50.2,61.3,72.4,45.4,2.27,17.15
1927-10,1.17,41.7,53.3,64.9,40.5,0.99,12.64
1927-11,2.02,36.9,45.6,54.3,36.2,0.73,7.03
1927-12,0.36,19.8,28.0,36.2,20.4,0.42,3.06
1928-01,1.58,23.7,28.4,33.0,25.4,0.42,1.28
1928-02,0.19,26.1,35.6,45.0,26.4,0.57,4.96
1928-03,1.26,35.0,46.5,57.9,34.0,0.83,9.59
1928-04,0.70,37.2,49.4,61.5,32.7,1.57,12.27
1928-05,0.17,46.3,63.9,81.5,38.1,3.08,28.95
1928-06,0.47,52.5,67.1,81.8,42.6,4.08,28.25
1928-07,0.20,58.1,75.7,93.4,46.3,5.80,43.33
1928-08,0.13,53.6,71.3,89.0,43.4,4.41,37.50
1928-09,0.27,45.7,63.3,81.0,40.1,2.32,28.34
1928-10,0.74,41.0,53.8,66.6,38.5,1.25,14.68
